目标距离：50,步长：5
1163:(X,Y) = (-5.6653,-2.12115)
1164:(X,Y) = (-4.11101,-0.862504)
1165:(X,Y) = (-4.98775,-2.66009)
1166:(X,Y) = (-4.91796,-4.65887)
1167:(X,Y) = (-3.00535,-4.07413)
1168:(X,Y) = (-4.81796,-3.22889)
1169:(X,Y) = (-6.37225,-1.97025)
1170:(X,Y) = (-4.40264,-2.31755)
1171:(X,Y) = (-2.76433,-1.1704)
1172:(X,Y) = (-4.6315,-0.453661)
1173:(X,Y) = (-4.5617,-2.45244)
1174:(X,Y) = (-4.5617,-4.45244)
1175:(X,Y) = (-6.51799,-4.03662)
1176:(X,Y) = (-6.44819,-2.03784)
1177:(X,Y) = (-5.16262,-3.56993)
1178:(X,Y) = (-6.19269,-5.28426)
1179:(X,Y) = (-7.88879,-6.3441)
1180:(X,Y) = (-8.94863,-4.648)
1181:(X,Y) = (-7.27129,-5.73728)
1182:(X,Y) = (-8.0205,-7.59165)
1183:(X,Y) = (-9.88766,-8.30839)
1184:(X,Y) = (-8.10565,-9.21637)
1185:(X,Y) = (-6.74165,-10.6791)
1186:(X,Y) = (-8.25107,-9.36696)
1187:(X,Y) = (-10.2401,-9.1579)
1188:(X,Y) = (-9.75627,-11.0985)
1189:(X,Y) = (-8.81733,-9.33259)
1190:(X,Y) = (-10.8024,-9.08886)
1191:(X,Y) = (-12.6696,-9.80559)
1192:(X,Y) = (-11.1375,-11.0912)
1193:(X,Y) = (-9.1524,-10.8474)
1194:(X,Y) = (-11.1414,-10.6384)
1195:(X,Y) = (-9.1524,-10.8474)
1196:(X,Y) = (-10.6618,-12.1595)
1197:(X,Y) = (-12.3939,-11.1595)
1198:(X,Y) = (-13.0119,-9.25743)
1199:(X,Y) = (-13.0468,-7.25774)
1200:(X,Y) = (-13.4626,-9.21403)
1201:(X,Y) = (-15.4614,-9.14423)
1202:(X,Y) = (-14.4918,-7.39499)
1203:(X,Y) = (-12.4945,-7.49967)
1204:(X,Y) = (-13.7532,-9.05396)
1205:(X,Y) = (-11.7969,-9.46978)
1206:(X,Y) = (-9.80175,-9.6093)
1207:(X,Y) = (-8.36307,-10.9986)
1208:(X,Y) = (-9.93909,-12.2299)
1209:(X,Y) = (-8.4528,-10.8917)
1210:(X,Y) = (-10.0071,-12.1503)
1211:(X,Y) = (-9.22563,-13.9913)
1212:(X,Y) = (-8.19556,-12.277)
1213:(X,Y) = (-6.26371,-12.7946)
1214:(X,Y) = (-5.8138,-14.7434)
1215:(X,Y) = (-4.96857,-16.556)
1216:(X,Y) = (-3.15595,-15.7107)
1217:(X,Y) = (-2.80866,-13.7411)
1218:(X,Y) = (-4.68804,-13.0571)
1219:(X,Y) = (-2.99194,-14.1169)
1220:(X,Y) = (-1.12478,-14.8337)
1221:(X,Y) = (-2.27194,-16.472)
1222:(X,Y) = (-3.88997,-15.2964)
1223:(X,Y) = (-4.92005,-13.5821)
1224:(X,Y) = (-2.92492,-13.7216)
1225:(X,Y) = (-4.28892,-12.2589)
1226:(X,Y) = (-6.21144,-11.7076)
1227:(X,Y) = (-8.18682,-12.0205)
1228:(X,Y) = (-9.96883,-11.1125)
1229:(X,Y) = (-11.5449,-12.3438)
1230:(X,Y) = (-13.3107,-13.2827)
1231:(X,Y) = (-11.3217,-13.0737)
1232:(X,Y) = (-9.45454,-12.357)
1233:(X,Y) = (-7.83651,-13.5325)
1234:(X,Y) = (-6.30442,-14.8181)
1235:(X,Y) = (-4.30472,-14.7832)
1236:(X,Y) = (-5.90199,-13.5796)
1237:(X,Y) = (-6.77874,-15.3772)
1238:(X,Y) = (-4.78361,-15.5167)
1239:(X,Y) = (-3.97013,-13.6896)
1240:(X,Y) = (-3.83062,-15.6847)
1241:(X,Y) = (-5.83032,-15.6498)
1242:(X,Y) = (-4.17224,-16.7682)
1243:(X,Y) = (-3.6546,-14.8363)
1244:(X,Y) = (-1.66556,-14.6273)
1245:(X,Y) = (0.323484,-14.8363)
1246:(X,Y) = (-1.13922,-13.4723)
1247:(X,Y) = (0.538118,-12.3831)
1248:(X,Y) = (-0.825879,-10.9204)
1249:(X,Y) = (-2.82314,-11.025)
1250:(X,Y) = (-4.65023,-11.8385)
1251:(X,Y) = (-4.85929,-13.8275)
1252:(X,Y) = (-5.06834,-11.8385)
1253:(X,Y) = (-5.55219,-13.7791)
1254:(X,Y) = (-5.7265,-11.7867)
1255:(X,Y) = (-5.41363,-9.81132)
1256:(X,Y) = (-5.82945,-11.7676)
1257:(X,Y) = (-4.41524,-10.3534)
1258:(X,Y) = (-3.23967,-8.73537)
1259:(X,Y) = (-1.41258,-9.54884)
1260:(X,Y) = (-3.08992,-10.6381)
1261:(X,Y) = (-3.26423,-12.6305)
1262:(X,Y) = (-1.51499,-13.6001)
1263:(X,Y) = (-0.0287011,-12.2619)
1264:(X,Y) = (1.73719,-11.3229)
1265:(X,Y) = (0.322981,-12.7371)
1266:(X,Y) = (0.941015,-14.6393)
1267:(X,Y) = (2.25313,-16.1487)
1268:(X,Y) = (2.566,-14.1733)
1269:(X,Y) = (3.65528,-12.496)
1270:(X,Y) = (2.84181,-14.323)
1271:(X,Y) = (1.47781,-12.8603)
1272:(X,Y) = (-0.470931,-13.3102)
1273:(X,Y) = (0.310532,-11.4692)
1274:(X,Y) = (-1.12815,-12.8585)
1275:(X,Y) = (0.0754822,-11.2613)
1276:(X,Y) = (-1.45661,-12.5469)
1277:(X,Y) = (-0.548626,-14.3289)
1278:(X,Y) = (-0.0987236,-16.2776)
1279:(X,Y) = (-1.3843,-14.7455)
1280:(X,Y) = (-2.10103,-16.6127)
1281:(X,Y) = (-1.31957,-18.4537)
1282:(X,Y) = (0.478016,-17.5769)
1283:(X,Y) = (-0.581823,-19.273)
1284:(X,Y) = (-1.36329,-17.432)
1285:(X,Y) = (-3.31203,-16.9821)
1286:(X,Y) = (-5.31172,-17.017)
1287:(X,Y) = (-3.8023,-18.3292)
1288:(X,Y) = (-4.21812,-20.2854)
1289:(X,Y) = (-3.07097,-18.6471)
1290:(X,Y) = (-2.16299,-20.4292)
1291:(X,Y) = (-0.271954,-19.778)
1292:(X,Y) = (-1.02117,-17.9237)
1293:(X,Y) = (0.927573,-18.3736)
1294:(X,Y) = (-1.06147,-18.1645)
1295:(X,Y) = (-1.54531,-20.1051)
1296:(X,Y) = (-0.0358954,-21.4172)
1297:(X,Y) = (1.83127,-22.1339)
1298:(X,Y) = (3.46957,-23.2811)
1299:(X,Y) = (2.75283,-21.4139)
1300:(X,Y) = (2.1348,-23.316)
1301:(X,Y) = (0.322184,-22.4708)
1302:(X,Y) = (0.97332,-24.3618)
1303:(X,Y) = (2.36264,-25.8005)
1304:(X,Y) = (0.808345,-24.5419)
1305:(X,Y) = (-0.788926,-25.7455)
1306:(X,Y) = (-0.997983,-23.7565)
1307:(X,Y) = (0.994407,-23.9308)
1308:(X,Y) = (-0.491883,-25.269)
1309:(X,Y) = (1.50781,-25.304)
1310:(X,Y) = (3.18515,-24.2147)
1311:(X,Y) = (5.17025,-23.9709)
1312:(X,Y) = (3.17055,-24.0058)
1313:(X,Y) = (1.2387,-24.5235)
1314:(X,Y) = (0.489486,-26.3778)
1315:(X,Y) = (-1.01993,-25.0657)
1316:(X,Y) = (-1.50378,-27.0063)
1317:(X,Y) = (-1.50378,-29.0063)
1318:(X,Y) = (-1.39911,-27.0091)
1319:(X,Y) = (-3.3988,-27.044)
1320:(X,Y) = (-3.22449,-25.0516)
1321:(X,Y) = (-5.1266,-24.4335)
1322:(X,Y) = (-4.24986,-22.636)
1323:(X,Y) = (-4.4936,-24.621)
1324:(X,Y) = (-2.91758,-25.8524)
1325:(X,Y) = (-2.84778,-23.8536)
1326:(X,Y) = (-3.62924,-22.0126)
1327:(X,Y) = (-5.57798,-21.5627)
1328:(X,Y) = (-5.9938,-19.6064)
1329:(X,Y) = (-6.47765,-17.6658)
1330:(X,Y) = (-8.27524,-18.5425)
1331:(X,Y) = (-6.37312,-17.9245)
1332:(X,Y) = (-8.32942,-18.3403)
1333:(X,Y) = (-7.48418,-16.5277)
1334:(X,Y) = (-5.48692,-16.6324)
1335:(X,Y) = (-7.20126,-17.6625)
1336:(X,Y) = (-8.40489,-16.0652)
1337:(X,Y) = (-9.93698,-14.7796)
1338:(X,Y) = (-11.4233,-16.1179)
1339:(X,Y) = (-9.43422,-15.9088)
1340:(X,Y) = (-7.70217,-16.9088)
1341:(X,Y) = (-6.95296,-18.7632)
1342:(X,Y) = (-6.95296,-16.7632)
1343:(X,Y) = (-5.01237,-17.247)
1344:(X,Y) = (-3.64837,-18.7097)
1345:(X,Y) = (-3.89211,-16.7246)
1346:(X,Y) = (-5.46813,-15.4933)
1347:(X,Y) = (-7.12621,-16.6117)
1348:(X,Y) = (-6.60857,-14.6798)
1349:(X,Y) = (-5.433,-13.0618)
1350:(X,Y) = (-7.31238,-13.7459)
1351:(X,Y) = (-7.694,-15.7091)
1352:(X,Y) = (-6.18458,-14.397)
1353:(X,Y) = (-6.63448,-12.4482)
1354:(X,Y) = (-5.5452,-10.7709)
1355:(X,Y) = (-5.64988,-12.7682)
1356:(X,Y) = (-6.30101,-14.6592)
1357:(X,Y) = (-5.15386,-13.0209)
1358:(X,Y) = (-5.7386,-11.1083)
1359:(X,Y) = (-7.73373,-11.2478)
1360:(X,Y) = (-9.12305,-12.6865)
1361:(X,Y) = (-10.5858,-11.3225)
1362:(X,Y) = (-12.5858,-11.3225)
1363:(X,Y) = (-12.8295,-13.3076)
1364:(X,Y) = (-14.7613,-12.7899)
1365:(X,Y) = (-13.5027,-14.3442)
1366:(X,Y) = (-14.1207,-16.2463)
1367:(X,Y) = (-12.6113,-17.5585)
1368:(X,Y) = (-10.7842,-16.745)
1369:(X,Y) = (-12.6252,-15.9635)
1370:(X,Y) = (-11.211,-17.3777)
1371:(X,Y) = (-13.2107,-17.4126)
1372:(X,Y) = (-14.697,-16.0744)
1373:(X,Y) = (-14.6272,-14.0756)
1374:(X,Y) = (-12.6954,-13.558)
1375:(X,Y) = (-14.4274,-14.558)
1376:(X,Y) = (-16.3593,-14.0403)
1377:(X,Y) = (-16.3244,-16.04)
1378:(X,Y) = (-18.0017,-17.1293)
1379:(X,Y) = (-16.0891,-17.714)
1380:(X,Y) = (-17.7852,-18.7739)
1381:(X,Y) = (-15.8726,-19.3586)
1382:(X,Y) = (-16.5566,-17.4792)
1383:(X,Y) = (-17.8153,-19.0335)
1384:(X,Y) = (-17.7455,-21.0323)
1385:(X,Y) = (-16.3561,-19.5936)
1386:(X,Y) = (-14.9175,-18.2043)
1387:(X,Y) = (-13.6053,-19.7137)
1388:(X,Y) = (-12.5753,-17.9994)
1389:(X,Y) = (-10.7627,-17.1542)
1390:(X,Y) = (-9.53133,-15.5781)
1391:(X,Y) = (-11.4946,-15.1965)
1392:(X,Y) = (-10.5866,-16.9785)
1393:(X,Y) = (-8.83736,-16.0089)
1394:(X,Y) = (-9.38864,-17.9314)
1395:(X,Y) = (-7.41326,-18.2443)
1396:(X,Y) = (-8.72538,-16.7349)
1397:(X,Y) = (-10.2348,-18.047)
1398:(X,Y) = (-10.2697,-16.0473)
1399:(X,Y) = (-11.5553,-17.5794)
1400:(X,Y) = (-11.8336,-19.5599)
1401:(X,Y) = (-11.0844,-21.4143)
1402:(X,Y) = (-13.0817,-21.519)
1403:(X,Y) = (-13.2907,-23.508)
1404:(X,Y) = (-11.5248,-22.5691)
1405:(X,Y) = (-9.57609,-23.019)
1406:(X,Y) = (-8.21209,-21.5563)
1407:(X,Y) = (-8.72973,-23.4881)
1408:(X,Y) = (-10.7285,-23.4183)
1409:(X,Y) = (-8.77977,-22.9684)
1410:(X,Y) = (-6.78252,-23.0731)
1411:(X,Y) = (-4.85066,-22.5555)
1412:(X,Y) = (-4.19953,-24.4465)
1413:(X,Y) = (-3.11025,-22.7692)
1414:(X,Y) = (-2.79738,-20.7938)
1415:(X,Y) = (-1.59375,-22.3911)
1416:(X,Y) = (-0.975716,-20.4889)
1417:(X,Y) = (-2.00579,-22.2033)
1418:(X,Y) = (-2.42162,-24.1596)
1419:(X,Y) = (-1.70488,-26.0267)
1420:(X,Y) = (-0.128858,-27.2581)
1421:(X,Y) = (1.85623,-27.0143)
1422:(X,Y) = (0.301942,-25.7557)
1423:(X,Y) = (-1.23015,-24.4701)
1424:(X,Y) = (-3.15267,-23.9188)
1425:(X,Y) = (-5.05478,-24.5369)
1426:(X,Y) = (-6.73212,-25.6261)
1427:(X,Y) = (-7.99077,-24.0718)
1428:(X,Y) = (-7.17729,-22.2448)
1429:(X,Y) = (-7.72857,-20.3222)
1430:(X,Y) = (-7.76347,-22.3219)
1431:(X,Y) = (-6.25405,-21.0098)
1432:(X,Y) = (-5.22398,-19.2955)
1433:(X,Y) = (-4.316,-21.0775)
1434:(X,Y) = (-5.80228,-19.7392)
1435:(X,Y) = (-4.46402,-21.2255)
1436:(X,Y) = (-2.66644,-20.3488)
1437:(X,Y) = (-4.50745,-19.5673)
1438:(X,Y) = (-2.51506,-19.7416)
1439:(X,Y) = (-3.90437,-21.1803)
1440:(X,Y) = (-3.0909,-23.0074)
1441:(X,Y) = (-4.15074,-21.3113)
1442:(X,Y) = (-5.66016,-22.6234)
1443:(X,Y) = (-7.59201,-22.1058)
1444:(X,Y) = (-6.59201,-23.8378)
1445:(X,Y) = (-8.5771,-24.0816)
1446:(X,Y) = (-7.00108,-25.3129)
1447:(X,Y) = (-8.59835,-24.1093)
1448:(X,Y) = (-6.70731,-23.4581)
1449:(X,Y) = (-5.76837,-25.224)
1450:(X,Y) = (-3.81963,-25.6739)
1451:(X,Y) = (-4.02869,-23.6849)
1452:(X,Y) = (-5.98498,-24.1007)
1453:(X,Y) = (-4.92514,-25.7968)
1454:(X,Y) = (-6.91419,-25.5877)
1455:(X,Y) = (-6.00621,-27.3697)
1456:(X,Y) = (-7.12459,-29.0278)
1457:(X,Y) = (-5.6383,-27.6896)
1458:(X,Y) = (-4.08401,-28.9482)
1459:(X,Y) = (-6.08371,-28.9831)
1460:(X,Y) = (-4.12045,-28.6015)
1461:(X,Y) = (-6.12045,-28.6015)
1462:(X,Y) = (-5.73883,-26.6382)
1463:(X,Y) = (-4.37484,-25.1755)
1464:(X,Y) = (-3.8572,-27.1074)
1465:(X,Y) = (-1.86481,-27.2817)
1466:(X,Y) = (-2.80375,-29.0476)
1467:(X,Y) = (-1.57243,-27.4716)
1468:(X,Y) = (-3.28676,-28.5016)
1469:(X,Y) = (-3.04303,-30.4867)
1470:(X,Y) = (-1.29379,-31.4564)
1471:(X,Y) = (0.192504,-30.1181)
1472:(X,Y) = (1.58182,-31.5568)
1473:(X,Y) = (3.13611,-30.2981)
1474:(X,Y) = (4.79419,-31.4165)
1475:(X,Y) = (4.61988,-33.4089)
1476:(X,Y) = (5.36909,-35.2633)
1477:(X,Y) = (3.51472,-34.5141)
1478:(X,Y) = (3.06482,-36.4628)
1479:(X,Y) = (3.16949,-38.4601)
1480:(X,Y) = (1.2132,-38.8759)
1481:(X,Y) = (0.93485,-40.8564)
1482:(X,Y) = (1.07436,-38.8613)
1483:(X,Y) = (2.85638,-39.7693)
1484:(X,Y) = (3.66985,-41.5964)
1485:(X,Y) = (5.65494,-41.8401)
1486:(X,Y) = (4.36937,-43.3722)
1487:(X,Y) = (4.40427,-45.3719)
1488:(X,Y) = (5.76827,-43.9092)
1489:(X,Y) = (4.92303,-42.0966)
1490:(X,Y) = (3.95341,-43.8458)
1491:(X,Y) = (5.36763,-45.26)
1492:(X,Y) = (7.36275,-45.3995)
1493:(X,Y) = (5.37766,-45.6433)
1494:(X,Y) = (3.37766,-45.6433)
1495:(X,Y) = (5.20475,-46.4567)
1496:(X,Y) = (3.54668,-47.5751)
1497:(X,Y) = (5.50297,-47.1593)
1498:(X,Y) = (7.23502,-48.1593)
1499:(X,Y) = (6.11664,-49.8174)
1500:(X,Y) = (7.91423,-50.6941)
1501:(X,Y) = (8.91423,-52.4262)
1502:(X,Y) = (10.3035,-50.9875)
1503:(X,Y) = (8.43638,-50.2708)
1504:(X,Y) = (7.40631,-51.9851)
1505:(X,Y) = (9.39869,-51.8108)
1506:(X,Y) = (7.61668,-52.7188)
1507:(X,Y) = (5.92059,-51.6589)
1508:(X,Y) = (7.45267,-52.9445)
1509:(X,Y) = (8.73825,-51.4124)
1510:(X,Y) = (10.5203,-52.3204)
1511:(X,Y) = (12.469,-52.7703)
1512:(X,Y) = (10.893,-51.539)
1513:(X,Y) = (10.5457,-53.5086)
1514:(X,Y) = (10.5108,-51.5089)
1515:(X,Y) = (8.8527,-50.3905)
1516:(X,Y) = (7.27668,-51.6218)
1517:(X,Y) = (6.49522,-53.4628)
1518:(X,Y) = (8.39733,-54.0809)
1519:(X,Y) = (7.58386,-55.908)
1520:(X,Y) = (7.96548,-53.9447)
1521:(X,Y) = (9.93509,-54.292)
1522:(X,Y) = (9.02711,-52.51)
1523:(X,Y) = (10.9834,-52.0942)
1524:(X,Y) = (10.0445,-50.3283)
1525:(X,Y) = (8.46844,-49.0969)
1526:(X,Y) = (8.46844,-47.0969)
1527:(X,Y) = (8.95229,-45.1564)
1528:(X,Y) = (9.40219,-43.2076)
1529:(X,Y) = (11.1342,-44.2076)
1530:(X,Y) = (13.1342,-44.2076)
1531:(X,Y) = (11.385,-45.1772)
1532:(X,Y) = (9.45315,-44.6596)
1533:(X,Y) = (9.7315,-42.6791)
1534:(X,Y) = (8.0354,-43.7389)
1535:(X,Y) = (7.75705,-41.7584)
1536:(X,Y) = (8.96068,-43.3556)
1537:(X,Y) = (10.8017,-44.1371)
1538:(X,Y) = (10.6274,-46.1295)
1539:(X,Y) = (12.5906,-46.5111)
1540:(X,Y) = (11.1043,-45.1728)
1541:(X,Y) = (9.15561,-44.7229)
1542:(X,Y) = (7.89697,-46.2772)
1543:(X,Y) = (6.06987,-45.4638)
1544:(X,Y) = (7.78421,-44.4337)
1545:(X,Y) = (6.42021,-42.971)
1546:(X,Y) = (8.37651,-42.5552)
1547:(X,Y) = (7.37651,-40.8231)
1548:(X,Y) = (8.15797,-42.6641)
1549:(X,Y) = (9.66739,-43.9762)
1550:(X,Y) = (8.49182,-42.3582)
1551:(X,Y) = (6.58971,-42.9762)
1552:(X,Y) = (7.76528,-44.5943)
1553:(X,Y) = (9.70587,-44.1104)
1554:(X,Y) = (8.44723,-45.6647)
1555:(X,Y) = (6.69799,-44.6951)
1556:(X,Y) = (5.2117,-43.3568)
1557:(X,Y) = (6.72112,-44.6689)
1558:(X,Y) = (8.70621,-44.9127)
1559:(X,Y) = (9.70621,-43.1806)
1560:(X,Y) = (10.122,-45.1369)
1561:(X,Y) = (11.1819,-46.833)
1562:(X,Y) = (12.4132,-45.257)
1563:(X,Y) = (14.3538,-45.7409)
1564:(X,Y) = (13.5723,-47.5819)
1565:(X,Y) = (13.9539,-45.6186)
1566:(X,Y) = (14.6051,-43.7276)
1567:(X,Y) = (15.2891,-45.607)
1568:(X,Y) = (13.6711,-46.7825)
1569:(X,Y) = (15.6601,-46.5735)
1570:(X,Y) = (16.3769,-48.4406)
1571:(X,Y) = (17.6082,-50.0167)
1572:(X,Y) = (16.6386,-51.7659)
1573:(X,Y) = (18.631,-51.5916)
1574:(X,Y) = (19.1822,-53.5141)
1575:(X,Y) = (20.7795,-52.3105)
1576:(X,Y) = (19.0475,-53.3105)
1577:(X,Y) = (17.1069,-52.8266)
1578:(X,Y) = (19.0822,-53.1395)
1579:(X,Y) = (18.9427,-51.1444)
1580:(X,Y) = (16.9476,-51.2839)
1581:(X,Y) = (16.9476,-49.2839)
1582:(X,Y) = (15.6355,-50.7933)
1583:(X,Y) = (15.6704,-52.793)
1584:(X,Y) = (13.6813,-53.0021)
1585:(X,Y) = (13.5418,-54.9972)
1586:(X,Y) = (13.1945,-56.9668)
1587:(X,Y) = (11.214,-56.6885)
1588:(X,Y) = (9.4164,-57.5652)
1589:(X,Y) = (7.72031,-56.5054)
1590:(X,Y) = (9.5179,-55.6286)
1591:(X,Y) = (7.56916,-55.1787)
1592:(X,Y) = (8.98337,-53.7645)
1593:(X,Y) = (10.1018,-52.1064)
1594:(X,Y) = (11.6112,-53.4185)
1595:(X,Y) = (13.1206,-54.7307)
1596:(X,Y) = (14.1206,-52.9986)
1597:(X,Y) = (15.2962,-54.6166)
1598:(X,Y) = (13.9579,-56.1029)
1599:(X,Y) = (13.4403,-58.0348)
经过1600步后，产生以下位置结果:
(X,Y) = (13.684,-60.0199)
或者为：
(m,a) = (61.56,-77.1566)
每一步经过的平均距离为 = 0.038475
